Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
11-May-00,5550,5550,5430,355600,0,0,0.18%,0,7.2,13.888889
10-May-00,5540,5820,5500,968305,0,0,-1.07%,0,7.2,13.888889
9-May-00,5600,5660,5350,414595,0,0,4.67%,0,7.1,14.084507
8-May-00,5350,5520,5350,70937,0,0,-2.73%,0,7.4,13.513514
5-May-00,5500,5650,5400,137468,0,0,-1.79%,0,7.2,13.888889
4-May-00,5600,5650,5580,111656,0,0,-0.88%,0,7.1,14.084507
3-May-00,5650,5700,5650,89430,0,0,-2.59%,0,7,14.285714
2-May-00,5800,5870,5720,320849,0,0,0.00%,0,6.9,14.492754
1-May-00,5800,5950,5700,0,0,0,0.00%,0,6.9,14.492754
28-Apr-00,5800,5950,5700,305050,0,0,-2.52%,0,6.9,14.492754
27-Apr-00,5950,6050,5950,0,0,0,0.00%,0,6.7,14.925373
26-Apr-00,5950,6050,5950,1118831,0,0,-0.83%,0,6.7,14.925373
25-Apr-00,6000,6000,5700,1161233,0,0,4.53%,0,6.6,15.151515
24-Apr-00,5740,6100,5650,0,0,0,0.00%,0,6.9,14.492754
21-Apr-00,5740,6100,5650,0,0,0,0.00%,0,6.9,14.492754
20-Apr-00,5740,6100,5650,1908773,0,0,-1.71%,0,6.9,14.492754
19-Apr-00,5840,5850,5400,470811,0,0,8.15%,0,6.8,14.705882
18-Apr-00,5400,5450,5200,320988,0,0,4.45%,0,7.4,13.513514
17-Apr-00,5170,5300,5100,267733,0,0,-6.85%,0,7.7,12.987013
14-Apr-00,5550,5650,5520,519145,0,0,0.36%,0,7.2,13.888889
13-Apr-00,5530,5700,5320,257192,0,0,0.55%,0,7.2,13.888889
12-Apr-00,5500,5610,5500,263012,0,0,-1.96%,0,7.2,13.888889
11-Apr-00,5610,5610,5500,357154,0,0,0.18%,0,7.1,14.084507
10-Apr-00,5600,5800,5600,208100,0,0,-1.75%,0,7.1,14.084507
7-Apr-00,5700,5870,5560,515285,0,0,-2.90%,0,7,14.285714
6-Apr-00,5870,6000,5870,196537,0,0,-0.51%,0,6.8,14.705882
5-Apr-00,5900,6150,5890,404858,0,0,-2.64%,0,6.7,14.925373
4-Apr-00,6060,6200,5850,615707,0,0,4.48%,0,6.6,15.151515
3-Apr-00,5800,5850,5600,388029,0,0,3.57%,0,6.9,14.492754
31-Mar-00,5600,5750,5560,246881,0,0,-0.18%,0,7.1,14.084507
30-Mar-00,5610,5800,5550,447921,0,0,-1.58%,0,7.1,14.084507
29-Mar-00,5700,5730,5600,112419,0,0,0.53%,0,7,14.285714
28-Mar-00,5670,5750,5620,353256,0,0,-2.07%,0,7,14.285714
27-Mar-00,5790,5850,5760,156400,0,0,0.52%,0,6.9,14.492754
24-Mar-00,5760,5830,5760,346847,0,0,-0.69%,0,6.9,14.492754
23-Mar-00,5800,5900,5780,313759,0,0,-1.53%,0,6.9,14.492754
22-Mar-00,5890,6000,5850,1007412,0,0,-1.83%,0,6.7,14.925373
21-Mar-00,6000,6000,5850,0,0,0,0.00%,0,6.6,15.151515
20-Mar-00,6000,6000,5850,417390,0,0,1.69%,0,6.6,15.151515
17-Mar-00,5900,5900,5700,351071,0,0,3.69%,0,6.8,14.705882
16-Mar-00,5690,6000,5510,1290704,0,0,-3.89%,0,7.1,14.084507
15-Mar-00,5920,5970,5880,372337,0,0,0.00%,0,6.8,14.705882
14-Mar-00,5920,5950,5790,575296,0,0,2.25%,0,6.8,14.705882
13-Mar-00,5790,5920,5760,414595,0,0,-3.02%,0,6.9,14.492754
10-Mar-00,5970,6000,5960,247413,0,0,0.34%,0,6.7,14.925373
9-Mar-00,5950,6000,5940,263672,0,0,-0.67%,0,6.7,14.925373
8-Mar-00,5990,6050,5900,303259,0,0,-0.99%,0,6.7,14.925373
7-Mar-00,6050,6100,6020,382520,0,0,-1.63%,0,6.6,15.151515
6-Mar-00,6150,6200,6100,128580,0,0,0.00%,0,6.5,15.384615
3-Mar-00,6150,6180,5800,441247,0,0,-0.81%,0,6.5,15.384615
2-Mar-00,6200,6300,6200,194780,0,0,-2.97%,0,6.5,15.384615
1-Mar-00,6390,6400,6130,1093458,0,0,3.06%,0,6.3,15.873016
29-Feb-00,6200,6220,6150,1216606,0,0,0.32%,0,6.5,15.384615
28-Feb-00,6180,6400,6140,360532,0,0,-3.89%,0,6.5,15.384615
25-Feb-00,6430,6500,6330,291611,0,0,-2.43%,0,6.2,16.129032
24-Feb-00,6590,6700,6390,176166,0,0,-0.45%,0,6.1,16.393443
23-Feb-00,6620,6680,6540,350273,0,0,1.85%,0,5.5,18.181818
22-Feb-00,6500,6750,6350,152245,0,0,-4.27%,0,5.6,17.857143
21-Feb-00,6790,6900,6700,127028,0,0,-2.72%,0,5.4,18.518519
18-Feb-00,6980,7000,6850,260245,0,0,-0.29%,0,5.2,19.230769
17-Feb-00,7000,7050,6890,201654,0,0,-0.71%,0,5.2,19.230769
16-Feb-00,7050,7120,7050,339810,0,0,-0.70%,0,5.2,19.230769
15-Feb-00,7100,7150,7060,743073,0,0,-0.14%,0,5.1,19.607843
14-Feb-00,7110,7200,6990,294588,0,0,0.42%,0,5.1,19.607843
11-Feb-00,7080,7160,7050,231623,0,0,-0.56%,0,5.2,19.230769
10-Feb-00,7120,7350,7100,409045,0,0,-3.78%,0,5.1,19.607843
9-Feb-00,7400,7400,7320,243901,0,0,1.37%,0,4.9,20.408163
8-Feb-00,7300,7310,7150,252963,0,0,2.10%,0,5,20
7-Feb-00,7150,7150,7050,154641,0,0,0.56%,0,5.1,19.607843
4-Feb-00,7110,7250,7100,110845,0,0,-1.66%,0,5.1,19.607843
3-Feb-00,7230,7270,7020,120215,0,0,1.54%,0,5,20
2-Feb-00,7120,7200,7000,196974,0,0,1.71%,0,5.1,19.607843
1-Feb-00,7000,7100,6700,306175,0,0,4.48%,0,5.2,19.230769
31-Jan-00,6700,6750,6450,104565,0,0,0.00%,0,5.4,18.518519
28-Jan-00,6700,6950,6700,233946,0,0,-4.29%,0,5.4,18.518519
27-Jan-00,7000,7230,7000,243397,0,0,-1.41%,0,5.2,19.230769
26-Jan-00,7100,7150,7000,194018,0,0,1.43%,0,5.1,19.607843
25-Jan-00,7000,7200,7000,272167,0,0,-3.85%,0,5.2,19.230769
24-Jan-00,7280,7300,7030,148675,0,0,-0.27%,0,5,20
21-Jan-00,7300,7320,7200,131923,0,0,-1.35%,0,5,20
20-Jan-00,7400,7500,7150,543760,0,0,0.00%,0,4.9,20.408163
19-Jan-00,7400,7590,7250,445042,0,0,-2.50%,0,4.9,20.408163
18-Jan-00,7590,7800,7500,407625,0,0,3.27%,0,4.8,20.833333
17-Jan-00,7350,7600,7260,164331,0,0,1.10%,0,5,20
14-Jan-00,7270,7400,7260,290188,0,0,-0.14%,0,5,20
13-Jan-00,7280,7340,7200,701210,0,0,0.97%,0,5,20
12-Jan-00,7210,7300,7100,145194,0,0,2.27%,0,5.1,19.607843
11-Jan-00,7050,7350,7050,151488,0,0,-2.08%,0,5.2,19.230769
10-Jan-00,7200,7400,6850,354502,0,0,5.88%,0,5.1,19.607843
7-Jan-00,6800,6830,6580,237871,0,0,4.62%,0,5.4,18.518519
6-Jan-00,6500,6540,6480,192010,0,0,-1.52%,0,5.6,17.857143
5-Jan-00,6600,6810,6500,83643,0,0,-3.23%,0,5.5,18.181818
4-Jan-00,6820,6820,6700,63375,0,0,1.34%,0,5.3,18.867925
3-Jan-00,6730,6800,6620,0,0,0,0.00%,0,5.4,18.518519
31-Dec-99,6730,6800,6620,0,0,0,0.00%,0,5.4,18.518519
30-Dec-99,6730,6800,6620,0,0,0,0.00%,0,5.4,18.518519
